top level,level 2,SIC Code,#ERROR!,Clarion sector,Clarion Sub sector,,Notes
,,"Section A Agriculture, Forestry and Fishing","Section A Agriculture, Forestry and Fishing",,,,
1,s ,"01 Crop and animal production, hunting and related service activities"," Crop and animal production, hunting and related service activities",Agriculture,"Agriculture, Farming & Estates",,
,2,01.1 Growing of non-perennial crops, Growing of non-perennial crops,Agriculture,"Agriculture, Farming & Estates",,
,,"01.11 Growing of cereals (except rice), leguminous crops and oil seeds"," Growing of cereals (except rice), leguminous crops and oil seeds",,"Agriculture, Farming & Estates",,
,,01.12 Growing of rice, Growing of rice,,"Agriculture, Farming & Estates",,
,,"01.13 Growing of vegetables and melons, roots and tubers"," Growing of vegetables and melons, roots and tubers",,"Agriculture, Farming & Estates",,
,,01.14 Growing of sugar cane, Growing of sugar cane,,"Agriculture, Farming & Estates",,
,,01.15 Growing of tobacco, Growing of tobacco,,"Agriculture, Farming & Estates",,
,,01.16 Growing of fibre crops, Growing of fibre crops,,"Agriculture, Farming & Estates",,
,,01.19 Growing of other non-perennial crops, Growing of other non-perennial crops,,"Agriculture, Farming & Estates",,
,2,01.2 Growing of perennial crops, Growing of perennial crops,Agriculture,"Agriculture, Farming & Estates",,
,,01.21 Growing of grapes, Growing of grapes,,"Agriculture, Farming & Estates",,
,,01.22 Growing of tropical and subtropical fruits, Growing of tropical and subtropical fruits,,"Agriculture, Farming & Estates",,
,,01.23 Growing of citrus fruits, Growing of citrus fruits,,"Agriculture, Farming & Estates",,
,,01.24 Growing of pome fruits and stone fruits, Growing of pome fruits and stone fruits,,"Agriculture, Farming & Estates",,
,,01.25 Growing of other tree and bush fruits and nuts, Growing of other tree and bush fruits and nuts,,"Agriculture, Farming & Estates",,
,,01.26 Growing of oleaginous fruits, Growing of oleaginous fruits,,"Agriculture, Farming & Estates",,
,,01.27 Growing of beverage crops, Growing of beverage crops,,"Agriculture, Farming & Estates",,
,,"01.28 Growing of spices, aromatic, drug and pharmaceutical crops"," Growing of spices, aromatic, drug and pharmaceutical crops",,"Agriculture, Farming & Estates",,
,,01.29 Growing of other perennial crops, Growing of other perennial crops,,"Agriculture, Farming & Estates",,
,2,01.3 Plant propagation, Plant propagation,Agriculture,"Agriculture, Farming & Estates",,
,,01.30 Plant propagation, Plant propagation,,"Agriculture, Farming & Estates",,
,2,01.4 Animal production, Animal production,Agriculture,"Agriculture, Farming & Estates",,
,,01.41 Raising of dairy cattle, Raising of dairy cattle,,"Agriculture, Farming & Estates",,
,,01.42 Raising of other cattle and buffaloes, Raising of other cattle and buffaloes,,"Agriculture, Farming & Estates",,
,,01.43 Raising of horses and other equines, Raising of horses and other equines,,"Agriculture, Farming & Estates",,
,,01.44 Raising of camels and camelids, Raising of camels and camelids,,"Agriculture, Farming & Estates",,
,,01.45 Raising of sheep and goats, Raising of sheep and goats,,"Agriculture, Farming & Estates",,
,,01.46 Raising of swine/pigs, Raising of swinepigs,,"Agriculture, Farming & Estates",,
,,01.47 Raising of poultry, Raising of poultry,,"Agriculture, Farming & Estates",,
,,01.49 Raising of other animals, Raising of other animals,,"Agriculture, Farming & Estates",,
,2,01.5 Mixed farming, Mixed farming,Agriculture,"Agriculture, Farming & Estates",,
, ,01.50 Mixed farming, Mixed farming,,"Agriculture, Farming & Estates",,
,2,01.6 Support activities to agriculture and post-harvest crop activities, Support activities to agriculture and post-harvest crop activities,Agriculture,"Agriculture, Farming & Estates",,
,,01.61 Support activities for crop production, Support activities for crop production,,"Agriculture, Farming & Estates",,
,,01.62 Support activities for animal production, Support activities for animal production,,"Agriculture, Farming & Estates",,
,,01.62/1 Farm animal boarding and care, Farm animal boarding and care,,"Agriculture, Farming & Estates",,
,,01.62/9 Support activities for animal production (other than farm animal boarding and care) n.e.c., Support activities for animal production (other than farm animal boarding and care) nec,,"Agriculture, Farming & Estates",,
,,01.63 Post-harvest crop activities, Post-harvest crop activities,,"Agriculture, Farming & Estates",,
,,01.64 Seed processing for propagation, Seed processing for propagation,,"Agriculture, Farming & Estates",,
,2,"01.7 Hunting, trapping and related service activities"," Hunting, trapping and related service activities",Agriculture,"Agriculture, Farming & Estates",,
,,"01.70 Hunting, trapping and related service activities"," Hunting, trapping and related service activities",,"Agriculture, Farming & Estates",,
1,s ,02 Forestry and logging, Forestry and logging,Agriculture,"Agriculture, Farming & Estates",,
,2,02.1 Silviculture and other forestry activities, Silviculture and other forestry activities,Agriculture,"Agriculture, Farming & Estates",,
,,02.10 Silviculture and other forestry activities, Silviculture and other forestry activities,,"Agriculture, Farming & Estates",,
,2,02.2 Logging, Logging,Agriculture,"Agriculture, Farming & Estates",,
,,02.20 Logging, Logging,,"Agriculture, Farming & Estates",,
,2,02.3 Gathering of wild growing non-wood products, Gathering of wild growing non-wood products,Agriculture,"Agriculture, Farming & Estates",,
,,02.30 Gathering of wild growing non-wood products, Gathering of wild growing non-wood products,,"Agriculture, Farming & Estates",,
,2,02.4 Support services to forestry, Support services to forestry,Agriculture,"Agriculture, Farming & Estates",,
,,02.40 Support services to forestry, Support services to forestry,,"Agriculture, Farming & Estates",,
1,s ,03 Fishing and aquaculture, Fishing and aquaculture,Agriculture,"Agriculture, Farming & Estates",,
,2,03.1 Fishing, Fishing,Agriculture,"Agriculture, Farming & Estates",,
,,03.11 Marine fishing, Marine fishing,,"Agriculture, Farming & Estates",,
,,03.12 Freshwater fishing, Freshwater fishing,,"Agriculture, Farming & Estates",,
,,03.2 Aquaculture, Aquaculture,,"Agriculture, Farming & Estates",,
,,03.21 Marine aquaculture, Marine aquaculture,,"Agriculture, Farming & Estates",,
,,03.22 Freshwater aquaculture, Freshwater aquaculture,,"Agriculture, Farming & Estates",,
1,s ,05 Mining of coal and lignite, Mining of coal and lignite,"Energy, Waste & Utilities",Energy - Mining & Minerals,,
 ,2,05.1 Mining of hard coal, Mining of hard coal,"Energy, Waste & Utilities",Energy - Mining & Minerals,,
,,05.10 Mining of hard coal, Mining of hard coal,,Energy - Mining & Minerals,,
,,05.10/1 Mining of hard coal from deep coal mines (underground mining), Mining of hard coal from deep coal mines (underground mining),,Energy - Mining & Minerals,,
,,05.10/2 Mining of hard coal from open cast coal working (surface mining), Mining of hard coal from open cast coal working (surface mining),,Energy - Mining & Minerals,,
,,05.2 Mining of lignite, Mining of lignite,,Energy - Mining & Minerals,,
,,05.20 Mining of lignite, Mining of lignite,,Energy - Mining & Minerals,,
1,s ,06 Extraction of crude petroleum and natural gas, Extraction of crude petroleum and natural gas,"Energy, Waste & Utilities",Energy - Mining & Minerals,,
