,submitted_member_name,best_matching_member_name,best_matching_member_name_companies_house,submitted_partner,submitted_partner_best_matching_member_name,submitted_partner_best_matching_member_name_companies_house
0,Andel Plastics Ltd,Andel Plastics Ltd,ANDEL PLASTICS LIMITED,yeoman pressings,Yeoman Pressings Ltd,YEOMAN PRESSINGS LIMITED
1,Andel Plastics Ltd,Andel Plastics Ltd,ANDEL PLASTICS LIMITED,AP Smith metal pressings,APS Metal Pressings Ltd,APS METAL PRESSINGS LIMITED
2,Andel Plastics Ltd,Andel Plastics Ltd,ANDEL PLASTICS LIMITED,WMG,WMG,WMG LIMITED
3,Machined Component Systems plc,Machined Components Systems P.L.C.,CROSS MACHINED COMPONENTS LIMITED,Gibbs,Gibbs Scrap,A&A SCRAP LTD
4,Ontic,Ontic,ONTIC LTD,Kingfield Electronics ,Kingfield Electronics Ltd,KINGFIELD ELECTRONICS LIMITED
5,Hazel4D,Hazel 4D,HAZEL4D LTD,MIY,WAGO Limited,WAGO LIMITED
6,lk metrology ltd,LK Metrology,LK METROLOGY LTD,The Sempre Group ,The Sempre Group,THE SEMPRE GROUP LTD
7,Teconnex ltd,Teconnex Ltd,TECONNEX LIMITED,Tudor Freight,Tudor International Freight Limited,TUDOR INTERNATIONAL FREIGHT LIMITED
8,R A Labone & Co Ltd,R A Labone & Co Ltd,R.A.LABONE & CO LIMITED,Shearline Steel Strip,Shearline Steel Strip,SHEARLINE STEEL STRIP LIMITED
9,R A Labone & Co Ltd,R A Labone & Co Ltd,R.A.LABONE & CO LIMITED,Brandauer,C Brandauer & Co Ltd,C.BRANDAUER & CO. LIMITED
10,United Birght Bar,United Bright Bar,UNITED BRIGHT BAR CO. LIMITED,KMB Shipping,KMB Shipping Group,KMB SHIPPING GROUP LIMITED
11,Pennine Pneumatic services,Pennine Pneumatic Services Ltd,PENNINE PNEUMATIC SERVICES LIMITED,PPG,PPG AC UK Ltd,PPG ACCOUNTANTS LIMITED
12,Pennine Pneumatic services,Pennine Pneumatic Services Ltd,PENNINE PNEUMATIC SERVICES LIMITED,AFLEX,EFAFLEX UK Limited,EFAFLEX UK LIMITED
13,Pennine Pneumatic services,Pennine Pneumatic Services Ltd,PENNINE PNEUMATIC SERVICES LIMITED,Pegler,Pegler,PEGLER LIMITED
14,Pennine Pneumatic services,Pennine Pneumatic Services Ltd,PENNINE PNEUMATIC SERVICES LIMITED,Balmoral tanks,Balmoral Tanks,BALMORAL TANKS LIMITED
15,Pennine Pneumatic services,Pennine Pneumatic Services Ltd,PENNINE PNEUMATIC SERVICES LIMITED,Yorkshire profiles,Yorkshire Profiles,YORKSHIRE PROFILES LIMITED
16,Prime Accountants Group,Prime Accountants Group,PRIME ACCOUNTANTS GROUP LIMITED,Birmingham Prototypes,Birmingham Prototypes Ltd,BIRMINGHAM PROTOTYPES LIMITED
17,Prime Accountants Group,Prime Accountants Group,PRIME ACCOUNTANTS GROUP LIMITED,Alwayse,Alwayse Movement Solutions,THE ALWAYSE CASTOR CO. LIMITED
18,Prime Accountants Group,Prime Accountants Group,PRIME ACCOUNTANTS GROUP LIMITED,Dutton Simulation,Dutton Simulation,DUTTON SIMULATION LIMITED
19,Prime Accountants Group,Prime Accountants Group,PRIME ACCOUNTANTS GROUP LIMITED,Elkington Bros,Elkington Brothers Limited,ELKINGTON BROTHERS LIMITED
20,Prime Accountants Group,Prime Accountants Group,PRIME ACCOUNTANTS GROUP LIMITED,Leader CNC,Leader CNC Technologies Limited,LEADER CNC TECHNOLOGIES LIMITED
21,ROCOL,ROCOL,ROCOL LTD,SALAMANDER FABRICATIONS,Salamander Fabrications Ltd,SALAMANDER FABRICATIONS LIMITED
22,Tri-Tech 3D,Tri-Tech 3D,TRI-TECH 3D LIMITED,Central Scanning,Central Scanning,CENTRAL SCANNING LIMITED
23,Specialised Laser Products ltd,Specialised Laser Products,SPECIALISED LASER PRODUCTS LIMITED,cambridge hok,Cambridge HOK,CAMBRIDGEHOK LIMITED
24,Cast Iron Welding Services Ltd,Cast Iron Welding Services Ltd,CAST IRON WELDING SERVICES LIMITED,Gardner Denver,Gardner Denver,GARDNER DENVER LTD
25,Cast Iron Welding Services Ltd,Cast Iron Welding Services Ltd,CAST IRON WELDING SERVICES LIMITED,McCarthy Environmental Ltd  ,McCarthy Environmental Ltd,MCCARTHY ENVIRONMENTAL LIMITED
26,Dartmouth Associates Limited,Dartmouth Associates Ltd,DARTMOUTH ASSOCIATES LTD.,LEMA,LEMA Engineering Academy,LEAN ENGINEERING AND MANUFACTURING ACADEMY LIMITED
27,Global Precision Ltd,Global Precision Ltd,GLOBAL PRECISION LTD,Teconnex,Teconnex Ltd,TECONNEX LIMITED
28,Contract Production,Contract Production,CONTRACT PRODUCTION LIMITED,Safe and Vault,Safe and Vault Company Limited,THE LONDON SILVER VAULTS AND CHANCERY LANE SAFE DEPOSIT COMPANY LIMITED
29,Bauromat UK Limited,Bauromat (UK) Limited,BAUROMAT (UK) LTD,Ricor,Ricor Limited,RICOR LIMITED
30,Bauromat UK Limited,Bauromat (UK) Limited,BAUROMAT (UK) LTD,RSD Pressings,RSD Pressings Ltd,RSD PRESSINGS LIMITED
31,Bauromat UK Limited,Bauromat (UK) Limited,BAUROMAT (UK) LTD,SDE,SDE Technology,SDE TECHNOLOGY LTD
32,Bauromat UK Limited,Bauromat (UK) Limited,BAUROMAT (UK) LTD,myworkwear,MyWorkwear,J.M. WORTHINGTON & CO. LIMITED
33,Bauromat UK Limited,Bauromat (UK) Limited,BAUROMAT (UK) LTD,Manufacturing Technology Centre,The Manufacturing Technology Centre,THE MANUFACTURING TECHNOLOGY CENTRE LIMITED
34,Bauromat UK Limited,Bauromat (UK) Limited,BAUROMAT (UK) LTD,incomm,In-Comm Training & Business Services,IN-COMM TRAINING SERVICES LIMITED
35,Bauromat UK Limited,Bauromat (UK) Limited,BAUROMAT (UK) LTD,Dennis Eagle,Dennis Eagle,DENNIS EAGLE LIMITED
36,Bauromat UK Limited,Bauromat (UK) Limited,BAUROMAT (UK) LTD,Sertec,Sertec Group,SERTEC GROUP LIMITED
37,Bauromat UK Limited,Bauromat (UK) Limited,BAUROMAT (UK) LTD,Liberty Pressings,Liberty Pressing Solutions,SHIFTEC MANUFACTURING LIMITED
38,Bauromat UK Limited,Bauromat (UK) Limited,BAUROMAT (UK) LTD,GKN,GKN Driveline,GKN DRIVELINE SERVICE LIMITED
39,Bauromat UK Limited,Bauromat (UK) Limited,BAUROMAT (UK) LTD,fanuc,FANUC UK Limited,FANUC UK LIMITED
40,Bauromat UK Limited,Bauromat (UK) Limited,BAUROMAT (UK) LTD,kuka,KUKA Robotics UK Limited,KUKA ROBOTICS UK LTD
41,The Partners Group ,The Partners Group,THE AMBIENT PARTNERSHIP GROUP LIMITED,ROCOL ,ROCOL,ROCOL LTD
42,Ductec,Ductec,DUCTEC LTD,Greyhound box,Greyhound Box Ltd,GREYHOUND BOX LIMITED
43,Ductec,Ductec,DUCTEC LTD,AUS,European Exhaust & Catalyst Ltd,EUROPEAN EXHAUST & CATALYST LIMITED
44,Ductec,Ductec,DUCTEC LTD,how Croft,Howcroft Group Ltd,HOWCROFT GROUP LIMITED
45,Ductec,Ductec,DUCTEC LTD,Aps,APS Metal Pressings Ltd,APS METAL PRESSINGS LIMITED
46,Ductec,Ductec,DUCTEC LTD,DCE,Rayden Engineering Ltd,RAYDEN ENGINEERING LIMITED
47,Ductec,Ductec,DUCTEC LTD,Wrekin,Wrekin Sheet Metal,WREKIN SHEET METAL LTD
48,E3R,Hexagon Metrology Ltd,HEXAGON METROLOGY LIMITED,Various,igus,IGUS TRANSPORT LTD
49,Unison Ltd,Unison Ltd,UNISON LIMITED,Stauff UK,Stauff UK,STAUFF UK LIMITED
50,Ductec,Ductec,DUCTEC LTD,Greyhound box,Greyhound Box Ltd,GREYHOUND BOX LIMITED
51,Ductec,Ductec,DUCTEC LTD,AUS,European Exhaust & Catalyst Ltd,EUROPEAN EXHAUST & CATALYST LIMITED
52,Ductec,Ductec,DUCTEC LTD,how Croft,Howcroft Group Ltd,HOWCROFT GROUP LIMITED
53,Ductec,Ductec,DUCTEC LTD,Aps,APS Metal Pressings Ltd,APS METAL PRESSINGS LIMITED
54,Ductec,Ductec,DUCTEC LTD,DCE,Rayden Engineering Ltd,RAYDEN ENGINEERING LIMITED
55,Ductec,Ductec,DUCTEC LTD,Wrekin,Wrekin Sheet Metal,WREKIN SHEET METAL LTD
56,Robert Gibbs Contracting Company Ltd,Mapal Ltd,MAPAL LIMITED,Rowan Precision Ltd,Rowan Precision Ltd,ROWAN PRECISION LIMITED
